제목,분류,동영상 길이,동영상 타입,조회수,좋아요 수,댓글 수
YENA (최예나) - SMILEY (Feat. BIBI) MV, Music,254,medium,18758776,426510,19841
NGÀY ĐẦU TIÊN - ĐỨC PHÚC | OFFICIAL MUSIC VIDEO | VALENTINE 2022, Music,340,medium,18985005,361903,10804
MAX CHANGMIN 최강창민 'Devil' MV, Music,241,medium,13234046,101568,5970
비투비 (BTOB) - '노래 (The Song)' Official Music Video, Music,256,medium,16303821,156651,27459
[입덕직캠] 갓 더 비트 윈터 직캠 4K 'Step Back' (GOT the beat WINTER FanCam) | @MCOUNTDOWN_2022.1.27, Entertainment,272,medium,10247678,384485,20243
[MV] 문별 (Moon Byul) - LUNATIC, Music,242,medium,9298947,280598,25535
Romeo Santos - Sus Huellas (Official Video), Music,267,medium,9383203,288583,8917
"먹방 :) 토핑가득 짜장불닭 떡볶이 (주꾸미, 새우, 버섯, 가래떡, 비엔나 소세지,어묵, 중국당면까지 크악~ 너무 맛있어.", People & Blogs,671,medium,8397364,95472,1258
Rams vs. Bengals | Super Bowl LVI Game Highlights, Sport,963,medium,8191363,94331,14052
[GOT the beat - Step Back] Special Stage | #엠카운트다운 EP.737 | Mnet 220127 방송, Entertainment,298,medium,7482427,409432,12166
Official髭男dism - Anarchy［Official Video］, Music,267,medium,7442840,91565,5401
"파스타 장인! 25년 경력 셰프의 토마토, 크림, 오일 파스타 만들기 / pasta making skill! tomato, cream, oil pasta making", Travel & Events,837,medium,6517914,70280,1409
[최초공개] Kep1er(케플러) - WA DA DA (4K) | Kep1er DEBUT SHOW | Mnet 220103 방송, Entertainment,256,medium,6227366,283257,4622
Painting Firefly Forest / Easy Acrylic Painting Technique, Education,480,medium,6043680,81707,1529
[ENG sub] 다 같이 풀어요🧟‍♂️좀비 모의고사 Ep.01 | 지금 우리 학교는 | 넷플릭스, Entertainment,784,medium,5612774,167858,2869
'SPECIAL STAGE' '신'인 걸그룹 'GOT the beat'의 'Step Back' 무대, Entertainment,296,medium,5581999,224939,8283
Meenoi's Yorizori Season2 | EP.5 BE’O, Entertainment,1006,medium,5015938,127451,8246
[ENG sub] 지우학 과몰입 방지 예능 Ep.02 | 지금 우리 학교는 | 넷플릭스, Entertainment,904,medium,4865887,184036,4238
Jamie Miller - Wishes (설강화 OST) [Music Video], Music,243,medium,4754694,0,6897
[ITZY VLOG] YUNA's Graduation VLOG, Entertainment,763,medium,4099394,287958,5861
[4K] ENHYPEN (엔하이픈) -“Polaroid Love” Band LIVE Concert│엔하의 폴라럽 밴드 라이브💖 [it’s KPOP LIVE 잇츠라이브], Entertainment,336,medium,3844339,378755,5980
[EPISODE] BTS (방탄소년단) @ 2021 iHeartRadio Jingle Ball, Music,631,medium,3727478,640922,18011
Pablo Alborán - Castillos de arena (Videoclip Oficial), Music,255,medium,3660520,59907,2792
宇多田ヒカル『BADモード』, Music,307,medium,3630155,50391,1814
Ed Sheeran – Bad Habits (feat. Bring Me The Horizon) [Live at the BRIT Awards 2022], Music,267,medium,3598073,148124,7179
"리얼먹방:) 집밥 햄지백반 ★ 고추장찌개,굴비,무생채,시금치무침,분홍소세지ㅣKorean Home MealㅣREAL SOUNDㅣASMR MUKBANGㅣ", Entertainment,915,medium,3455457,66941,1847
"리얼먹방:) 매운 국물닭발에 깍두기(?) ★ ft.계란말이,참치마요주먹밥ㅣDakbal (Spicy chicken feet)ㅣREAL SOUNDㅣASMR MUKBANGㅣ", Entertainment,932,medium,3291952,62913,1565
กลับก่อนนะ (GOOD BYE)  - INK WARUNTORN [Official MV], Music,263,medium,3277647,45007,1648
Precision Passing: Pro Bowl Skills Showdown, Sport,489,medium,3031145,44958,3346
♨핫클립♨ ＂원곡으로 착각할 정도..＂ 공감과 상상을 자극하는 목소리 33호 가수 '제발'｜싱어게인2｜JTBC 220124 방송, Entertainment,540,medium,2960971,34522,3737
LA vlog, People & Blogs,502,medium,3288215,596560,25156
[라디오스타] 곽윤기 선수 mbti.. ＂파워 E＂같지만 사실 ＂I＂라고 합니다 | #곽윤기 #엠뚜루마뚜루 MBC180314방송, Entertainment,939,medium,2812954,38485,1603
HERA photo shoot vlog, People & Blogs,285,medium,2624056,508127,24341
리얼먹방:) 얼큰 고추장칼국수 & 표고버섯탕수육 만들기ㅣKalguksu & TangsuyukㅣREAL SOUNDㅣASMR MUKBANGㅣ, Entertainment,942,medium,2632522,55566,1127
아따 둘이 똑같이 생겼네잉 [판타스틱 패밀리|220201 SBS방송], Entertainment,826,medium,2474598,22728,2424
[얼라이브] Ep.1-4 서쪽하늘 아직도 듣는 사람들은 무조건 클릭!!, Entertainment,411,medium,2429352,35327,1907
리얼먹방:) 로제떡볶이 집에서도 만들수 있어요!! ★ ft.단무지무침ㅣRose TteokbokkiㅣREAL SOUNDㅣASMR MUKBANGㅣ, Entertainment,728,medium,2361317,59925,1153
"[EN] ""이제 제시의 틱톡으로 하자"" 팔로워 3800만 틱톡커 원정맨 만나고, 제시(JESSI) 틱톡커 전향 선언? 《제시의 쇼터뷰》 EP.84 by 모비딕 Mobidic", Entertainment,1145,medium,2298018,0,3310
Manuel Carrasco - FUE, Music,251,medium,2342719,45614,1320
[찜꽁습꽁] 10년 전 💖차준환💖 선수의 귀염뽀짝 피겨 꿈나무 시절 모음!ㅣ김연아의 Kiss & CryㅣSBS ENTER., Entertainment,951,medium,2195485,22607,1460
BREAKING: Over 450 Russian troops killed in Ukraine - UK Defence Secretary, Entertainment,691,medium,2105520,24007,10412
【公式】オリジナルアニメ「ビッパ、キミにきめた！」, Gaming,499,medium,2070821,0,4846
※팩폭주의※ 실패를 인정하지 않는 서경석에게 날린 오은영 박사의 일침 [오은영의 금쪽 상담소 13 회], Entertainment,713,medium,2055467,19130,1185
리얼먹방:) 새우 듬뿍~ 리얼 새우버거!! ★ 꼭 만들어보세요👍ㅣReal Shrimp BurgerㅣREAL SOUNDㅣASMR MUKBANGㅣ, Entertainment,723,medium,2200445,56773,1743
[놀면 뭐하니?] 막내 재석은 오랜만이지? 오디오가 비질 않는 조동아리 형님들과의 만남 MBC 220219 방송 (Hangout with Yoo), Entertainment,895,medium,2038719,25475,1733
다시보면 보이는 소름돋는 시크릿 가든 엔딩! 손예진이 여기서 왜 나와...?😮 #시크릿가든 #모았캐치 #SBSCatch, Entertainment,1166,medium,1977423,9267,799
[sub] 🧳ep.4-1｜웃고 울다가 삐지는..^^ 고요하지 않은 감정의 바다｜🧳출장 십오야2, Entertainment,1051,medium,1887835,26027,1003
[#유퀴즈] 상금 100만 원 탔는데 화나 계신 고3 어머님 😂 기승전대학이 중요한 대한민국 고삼 파이팅 | 노가리맛집, Entertainment,649,medium,1956607,12237,1064
YUNHO from 東方神起 / 「君は先へ行く」Music Video（Full Version）, Music,246,medium,1852234,125730,3460
サカナクション / ショック！　-Music Live Video-, Music,316,medium,1788037,0,1258
